Date,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26
2012,1114,100,1870,1946,2582,833,572,128,150,153,103,650,2079,292,115,406,243,637,5702,6550,3880,1476,4674,4709,466,578
2013,1109,996,2023,2925,2535,835,577,134,121,159,113,610,1952,289,108,408,290,342,3510,8728,3290,1469,4732,4741,472,609
2014,1109,994,2046,4949,2429,832,571,133,188,138,105,650,1941,290,137,444,288,173,2489,12026,4910,1508,4725,4749,471,628
2015,1116,991,2212,5122,2405,826,560,141,135,142,99,620,2311,292,137,467,567,113,4596,14395,8760,1637,4742,4762,473,665
